title|author|issue|DE-640|signature
Hochbegabung|Bergsmann, Roswitha|0|[]|Psy G 310: 96
Gerecht beurteilen|Brunner, Ilse|1. Aufl|[]|Paed K 520: 51
Bilingualer Unterricht Gemeinschaftskunde - Englisch|Hoffknecht, Volker|0|[]|HD 245 H698
Die Europahymne|Beethoven, Ludwig van|1. Aufl., Instrumentalsätze und Stimmen|[]|LP 63204 B415
Duden-Abiturhilfen|Klinger, Roland|2., aktualis. Aufl.|[]|Bio A 350: 60
Bewusst sein im Körper|Bartussek, Walter|0|[]|Psy D 40: 64
Betrifft Mensch und Umwelt|Class, Karin|0|[]|ZE 70000 B564 M5 A -9/10
Betrifft Mensch und Umwelt|0|0|[]|ZE 70000 B564 M5 AL -9/10
"""Wie eine zweite Haut"""|Nischwitz, Peggi|1. Aufl.|[]|LH 69080 N724
"""Halt's Maul, du dumme Sau!"""|Miller, Reinhold|2. Aufl.|[]|Psy L 700: 78